World Rank,Institution,Country,National Rank,Total Score,Additional Score
500,Harvard University,USA,1,100,100
499,University of Cambridge,UK,1,73.6,99.8
498,Stanford University,USA,2,73.4,41.1
497,University of California Berkeley,USA,3,72.8,71.8
496,Massachusetts Institute of Technology (MIT),USA,4,70.1,74
495,California Institute of Technology,USA,5,67.1,59.2
494,Columbia University,USA,6,62.3,79.4
493,Princeton University,USA,7,60.9,63.4
492,University of Chicago,USA,8,60.1,75.6
491,University of Oxford,UK,2,59.7,64.3
490,Yale University,USA,9,56.9,52.1
489,Cornell University,USA,10,54.6,46.5
488,University of California San Diego,USA,11,51,17.7
487,University of California Los Angeles,USA,12,50.6,27.3
486,University of Pennsylvania,USA,13,50.2,35.5
485,University of Wisconsin - Madison,USA,14,49.2,43
484,University of Washington,USA,15,48.4,28.8
483,University of California San Francisco,USA,16,47.8,0
482,The Johns Hopkins University,USA,17,46.9,51.4
481,The University of Tokyo,Japan,1,46.7,36
480,University of Michigan - Ann Arbor,USA,18,44.9,43
479,Kyoto University,Japan,2,43.8,39.7
478,The Imperial College of Science Technology and Medicine,UK,3,43.7,20.8
477,University of Toronto,Canada,1,43.1,28.1
476,University of Illinois at Urbana-Champaign,USA,19,42.8,41.6
475,University College London,UK,4,42.6,30.7
474,Swiss Federal Institute of Technology Zurich,Switzerland,1,41.7,40.2
473,Washington University in St. Louis,USA,20,40.7,25.1
472,New York University,USA,21,38.8,33.8
471,Rockefeller University,USA,22,38.2,22.6
470,Northwestern University,USA,23,37.9,21.7
469,Duke University,USA,24,37.7,20.8
469,University of Minnesota Twin Cities,USA,24,37.7,36
467,University of California Santa Barbara,USA,26,36.9,0
466,University of Colorado at Boulder,USA,27,36.3,16.6
465,The University of Texas at Austin,USA,28,35.5,21.7
464,University of British Columbia,Canada,2,35.4,20.8
463,The University of Texas Southwestern Medical Center at Dallas,USA,29,34.8,24.3
462,Pennsylvania State University - University Park,USA,30,33.4,14
462,Vanderbilt University,USA,30,33.4,12.5
460,University of California Davis,USA,32,32.9,0
460,Utrecht University,Netherlands,1,32.9,30.7
458,Rutgers The State University of New Jersey - New Brunswick,USA,33,32.3,15.4
458,University of Pittsburgh,USA,33,32.3,25.1
456,Karolinska Institute,Sweden,1,32.1,30.7
455,Pierre and Marie  Curie University - Paris 6,France,1,32,35.7
454,The University of Edinburgh,UK,5,31.8,22.6
454,University of California Irvine,USA,35,31.8,0
454,University of Maryland College Park,USA,35,31.8,25.9
451,University of Southern California,USA,37,31.7,0
450,University of Munich,Germany,1,31.4,37.1
449,Technical University Munich,Germany,2,31.3,43
448,The University of Manchester,UK,6,31.2,27.3
447,Carnegie Mellon University,USA,38,30.8,30.7
446,University of North Carolina at Chapel Hill,USA,39,30.3,12.5
445,The Australian National University,Australia,1,30.2,17.7
444,University of Copenhagen,Denmark,1,30,30.7
444,University of Florida,USA,40,30,15.4
444,University of Zurich,Switzerland,2,30,12.5
441,Uppsala University,Sweden,2,29.9,25.9
440,University of Paris Sud (Paris 11),France,2,29.4,33.2
439,Osaka University,Japan,3,29.3,12.5
438,The Ohio State University - Columbus,USA,41,29.2,17.7
437,University of Bristol,UK,7,28.8,10.9
436,The University of Sheffield,UK,8,28.6,23.5
436,University of Rochester,USA,42,28.6,33.2
434,McGill University,Canada,3,28.4,28.8
434,Moscow State University,Russia,1,28.4,51.4
432,Case Western Reserve University,USA,43,28.3,40.7
432,University of Oslo,Norway,1,28.3,25.9
430,University of Heidelberg,Germany,3,28,10.9
429,Leiden University,Netherlands,2,27.9,25.1
428,Tohoku University,Japan,4,27.8,18.8
428,University of Arizona,USA,44,27.8,0
426,Purdue University - West Lafayette,USA,45,27.7,18.8
425,University of Helsinki,Finland,1,27.4,18.8
424,Michigan State University,USA,46,26.9,12.5
423,Rice University,USA,47,26.2,21.7
423,The Hebrew University of Jerusalem,Israel,1,26.2,33.2
421,Boston University,USA,48,26.1,15.4
421,King's College London,UK,9,26.1,16.6
419,University of Melbourne,Australia,2,26,15.4
418,University of Nottingham,UK,10,25.9,15.4
417,University of Goettingen,Germany,4,25.8,38.7
416,University of Vienna,Austria,1,25.6,25.1
415,Brown University,USA,49,25.4,0
414,Indiana University Bloomington,USA,50,25.2,14
414,University of Basel,Switzerland,3,25.2,25.9
412,Texas A&M University - College Station,USA,51,25.1,0
411,McMaster University,Canada,4,24.9,16.6
411,University of Freiburg,Germany,5,24.9,25.1
409,University of Strasbourg,France,3,24.7,29.4
408,Ecole Normale Superieure - Paris,France,4,24.6,47.8
408,Stockholm University,Sweden,3,24.6,29.4
408,Tokyo Institute of Technology,Japan,5,24.6,16.6
408,University of Utah,USA,52,24.6,0
404,University of Roma - La Sapienza,Italy,1,24.5,16.6
403,University of Birmingham,UK,11,24.4,25.1
402,Lund University,Sweden,4,24.3,29.4
401,Tufts University,USA,53,23.9,18.8
376,Aarhus University,Denmark,2,0,15.4
376,Arizona State University - Tempe,USA,54-71,0,0
376,Baylor College of Medicine,USA,54-71,0,0
376,Catholic University of Leuven,Belgium,1-4,0,0
376,Catholic University of Louvain,Belgium,1-4,0,14
376,College of France,France,5,0,15.4
376,Dartmouth College,USA,54-71,0,24.3
376,Emory University,USA,54-71,0,0
376,Georgia Institute of Technology,USA,54-71,0,16.6
376,Ghent University,Belgium,1-4,0,8.9
376,Hokkaido University,Japan,6-9,0,0
376,Kyushu University,Japan,6-9,0,0
376,Mayo Medical School,USA,54-71,0,0
376,Nagoya University,Japan,6-9,0,0
376,National University of Singapore,Singapore,1,0,0
376,North Carolina State University - Raleigh,USA,54-71,0,0
376,Oregon State University,USA,54-71,0,15.4
376,Seoul National University,South-Korea,1,0,0
376,State University of New York at Stony Brook,USA,54-71,0,0
376,Technion-Israel Institute of Technology,Israel,2-4,0,18.8
376,Tel Aviv University,Israel,2-4,0,0
376,The University of Georgia,USA,54-71,0,0
376,The University of Glasgow,UK,12-15,0,10.9
376,The University of Queensland,Australia,3-4,0,16.6
376,University Libre Bruxelles,Belgium,1-4,0,28.1
376,University of Alberta,Canada,5,0,15.4
376,University of Amsterdam,Netherlands,3-4,0,8.9
376,University of Bonn,Germany,6-11,0,19.8
376,University of California Riverside,USA,54-71,0,0
376,University of California Santa Cruz,USA,54-71,0,0
376,University of Frankfurt,Germany,6-11,0,36.6
376,University of Geneva,Switzerland,4,0,29.4
376,University of Groningen,Netherlands,3-4,0,0
376,University of Hamburg,Germany,6-11,0,16.6
376,University of Hawaii at Manoa,USA,54-71,0,0
376,University of Illinois at Chicago,USA,54-71,0,0
376,University of Iowa,USA,54-71,0,0
376,University of Leeds,UK,12-15,0,22.6
376,University of Liverpool,UK,12-15,0,23.5
376,University of Massachusetts Amherst,USA,54-71,0,17.7
376,University of Miami,USA,54-71,0,0
376,University of Milan,Italy,2-3,0,22.6
376,University of Muenster,Germany,6-11,0,25.1
376,University of Pisa,Italy,2-3,0,18.8
376,University of Sao Paulo,Brazil,1,0,0
376,University of Sussex,UK,12-15,0,0
376,University of Sydney,Australia,3-4,0,19.8
376,University of Tsukuba,Japan,6-9,0,0
376,University of Tuebingen,Germany,6-11,0,29.4
376,University of Virginia,USA,54-71,0,0
376,University of Wuerzburg,Germany,6-11,0,25.1
376,Weizmann Institute of Science,Israel,2-4,0,0
326,Autonomous University of Madrid,Spain,1-2,0,19.8
326,Brandeis University,USA,72-90,0,25.1
326,Cardiff University,UK,16-19,0,0
326,Colorado State University,USA,72-90,0,0
326,Erasmus University,Netherlands,5-7,0,0
326,Florida State University,USA,72-90,0,0
326,Iowa State University,USA,72-90,0,0
326,Joseph Fourier University (Grenoble 1),France,6-8,0,0
326,Mount Sinai School of Medicine,USA,72-90,0,0
326,National Autonomous University of Mexico,Mexico,1,0,16.6
326,National Taiwan University,China-tw,1,0,15.4
326,Oregon Health and Science University,USA,72-90,0,0
326,Queen's University,Canada,6-8,0,0
326,Rensselaer Polytechnic Institute,USA,72-90,0,16.6
326,Swiss Federal Institute of Technology of Lausanne,Switzerland,5-6,0,0
326,Technical University of Denmark,Denmark,3,0,8.9
326,The University of Alabama at Birmingham,USA,72-90,0,0
326,The University of Calgary,Canada,6-8,0,0
326,The University of Connecticut - Storrs,USA,72-90,0,15.4
326,The University of Texas Health Science Center at Houston,USA,72-90,0,0
326,The University of Texas M. D. Anderson Cancer Center,USA,72-90,0,0
