World Rank,Institution,Country,National Rank,Total Score,Additional Score
376,Emory University,USA,54-67,0,0
376,Georgia Institute of Technology,USA,54-67,0,13.3
376,Hokkaido University,Japan,5-7,0,12.1
376,Joseph Fourier University (Grenoble 1),France,4-7,0,0
376,London School of Economics and Political Science,UK,10-14,0,21
376,Lund University,Sweden,4,0,22.4
376,Mayo Medical School,USA,54-67,0,0
376,Monash University,Australia,6-7,0,0
376,National Taiwan University,China-tw,1,0,12.1
376,National University of Singapore,Singapore,1,0,0
376,Radboud University Nijmegen,Netherlands,3-7,0,17.1
376,Seoul National University,South-Korea,1,0,0
376,Swiss Federal Institute of Technology of Lausanne,Switzerland,5,0,0
376,Tel Aviv University,Israel,4,0,0
376,The University of Georgia,USA,54-67,0,0
376,The University of Sheffield,UK,10-14,0,18.8
376,Tohoku University,Japan,5-7,0,15.3
376,Tokyo Institute of Technology,Japan,5-7,0,13.3
376,Tufts University,USA,54-67,0,15.3
376,University of Alberta,Canada,5-6,0,12.1
376,University of Amsterdam,Netherlands,3-7,0,5.4
376,University of Birmingham,UK,10-14,0,19.6
376,University of Bonn,Germany,5-8,0,16.3
376,University of California Riverside,USA,54-67,0,13.3
376,University of California Santa Cruz,USA,54-67,0,0
376,University of Delaware,USA,54-67,0,10.8
376,University of Frankfurt,Germany,5-8,0,32.1
376,University of Goettingen,Germany,5-8,0,28.7
376,University of Groningen,Netherlands,3-7,0,0
376,University of Hawaii at Manoa,USA,54-67,0,0
376,University of Iowa,USA,54-67,0,0
376,University of Liverpool,UK,10-14,0,18
376,University of Massachusetts Amherst,USA,54-67,0,14.3
376,University of Massachusetts Medical School - Worcester,USA,54-67,0,0
376,University of Montreal,Canada,5-6,0,12.1
376,University of Muenster,Germany,5-8,0,20.3
376,University of New South Wales,Australia,6-7,0,0
376,University of Paris Diderot (Paris 7),France,4-7,0,12.1
376,University of Pisa,Italy,1-2,0,14.3
376,University of Roma - La Sapienza,Italy,1-2,0,12.1
376,University of Sao Paulo,Brazil,1,0,0
376,University of Strasbourg,France,4-7,0,26.6
376,University of Sussex,UK,10-14,0,0
376,University of Virginia,USA,54-67,0,0
376,University of Wageningen,Netherlands,3-7,0,0
376,VU University Amsterdam,Netherlands,3-7,0,0
326,Cardiff University,UK,15-19,0,0
326,Colorado State University,USA,68-85,0,0
326,Dartmouth College,USA,68-85,0,18.8
326,Erasmus University,Netherlands,8,0,0
326,George Mason University,USA,68-85,0,0
326,Iowa State University,USA,68-85,0,0
326,Kyushu University,Japan,8-9,0,0
326,Mount Sinai School of Medicine,USA,68-85,0,0
326,National Autonomous University of Mexico,Mexico,1,0,13.3
326,North Carolina State University - Raleigh,USA,68-85,0,0
326,Oregon Health and Science University,USA,68-85,0,0
326,Oregon State University,USA,68-85,0,10.8
326,Peking University,China,1-4,0,0
326,Shanghai Jiao Tong University,China,1-4,0,0
326,State University of New York at Stony Brook,USA,68-85,0,0
326,Technical University of Denmark,Denmark,3,0,5.4
326,The Chinese University of Hong Kong,China-hk,1-2,0,0
326,The University of Auckland,New-Zealand,1,0,14.3
326,The University of Glasgow,UK,15-19,0,7.7
326,The University of Hong Kong,China-hk,1-2,0,0
326,The University of Texas Health Science Center at Houston,USA,68-85,0,0
326,The University of Texas M. D. Anderson Cancer Center,USA,68-85,0,0
326,Tsinghua University,China,1-4,0,10.8
326,University Libre Bruxelles,Belgium,4,0,17.1
326,University of Bern,Switzerland,6,0,13.3
326,University of Buenos Aires,Argentina,1,0,15.3
326,University of Gothenburg,Sweden,5,0,0
326,University of Hamburg,Germany,9-14,0,12.1
326,University of Illinois at Chicago,USA,68-85,0,0
326,University of Kiel,Germany,9-14,0,10.8
326,University of Koeln,Germany,9-14,0,0
326,University of Leeds,UK,15-19,0,18
326,University of Mainz,Germany,9-14,0,0
326,University of Maryland Baltimore,USA,68-85,0,0
326,University of Miami,USA,68-85,0,0
326,University of Milan,Italy,3-4,0,18
326,University of Nebraska - Lincoln,USA,68-85,0,18
326,University of Padua,Italy,3-4,0,0
326,University of Paris Descartes (Paris 5),France,8,0,12.1
326,University of Southampton,UK,15-19,0,0
326,University of Tennessee - Knoxville,USA,68-85,0,10.8
326,University of Tsukuba,Japan,8-9,0,0
326,University of Tuebingen,Germany,9-14,0,23.6
326,University of Vienna,Austria,1,0,14.3
326,University of Warwick,UK,15-19,0,0
326,University of Waterloo,Canada,7,0,0
326,University of Wuerzburg,Germany,9-14,0,20.3
326,Virginia Commonwealth University,USA,68-85,0,10.8
326,Virginia Polytechnic Institute and State University,USA,68-85,0,12.1
326,Zhejiang University,China,1-4,0,0
251,Autonomous University of Madrid,Spain,1-3,0,0
251,Brandeis University,USA,86-109,0,20.3
251,Charles University in Prague,Czech,1,0,9.4
251,City University of Hong Kong,China-hk,3-5,0,0
251,Claude Bernard University Lyon 1,France,9-13,0,10.8
251,Complutense University of Madrid,Spain,1-3,0,20.3
251,Dalhousie University,Canada,8-17,0,0
251,Delft University of Technology,Netherlands,9-10,0,12.1
251,Dresden University of Technology,Germany,15-24,0,0
251,Florida State University,USA,86-109,0,0
251,Fudan University,China,5-7,0,0
251,Karlsruhe Institute of Technology (KIT),Germany,15-24,0,0
251,King Saud University,Saudi-Arabia,1,0,0
251,Korea Advanced Institute of Science and Technology,South-Korea,2-4,0,0
251,Lancaster University,UK,20-30,0,0
251,Laval University,Canada,8-17,0,0
251,Louisiana State University - Baton Rouge,USA,86-109,0,0
251,Macquarie University,Australia,8-9,0,0
251,Medical University of Vienna,Austria,2-3,0,9.4
251,Nanjing University,China,5-7,0,0
251,Nanyang Technological University,Singapore,2,0,0
251,National Cheng Kung University,China-tw,2-3,0,0
251,National Tsing Hua University,China-tw,2-3,0,13.3
251,Newcastle University,UK,20-30,0,0
251,Norwegian University of Science and Technology,Norway,2-3,0,14.3
251,Paul Sabatier University (Toulouse 3),France,9-13,0,0
251,Polytechnic Institute of Milan,Italy,5-9,0,7.7
251,Queen Mary U. of London,UK,20-30,0,18.8
251,Queen's University,Canada,8-17,0,0
251,Rensselaer Polytechnic Institute,USA,86-109,0,13.3
251,Royal Institute of Technology,Sweden,6-7,0,0
251,RWTH Aachen University,Germany,15-24,0,0
251,Scuola Normale Superiore - Pisa,Italy,5-9,0,0
251,Simon Fraser University,Canada,8-17,0,0
251,State University of Campinas,Brazil,2,0,0
251,State University of New York at Buffalo,USA,86-109,0,0
251,Sungkyunkwan University,South-Korea,2-4,0,0
251,Technical University of Berlin,Germany,15-24,0,17.1
251,The George Washington University,USA,86-109,0,12.1
251,The Hong Kong Polytechnic University,China-hk,3-5,0,0
251,The Hong Kong University of Science and Technology,China-hk,3-5,0,0
251,The University of Adelaide,Australia,8-9,0,15.3
251,The University of Alabama at Birmingham,USA,86-109,0,0
251,The University of Calgary,Canada,8-17,0,0
251,The University of Connecticut - Storrs,USA,86-109,0,12.1
251,The University of New Mexico - Albuquerque,USA,86-109,0,0
251,The University of Reading,UK,20-30,0,0
251,Thomas Jefferson University,USA,86-109,0,0
251,Trinity College Dublin,Ireland,1,0,10.8
251,Umea University,Sweden,6-7,0,0
251,University of Aberdeen,UK,20-30,0,0
251,University of Antwerp,Belgium,5-6,0,0
251,University of Barcelona,Spain,1-3,0,0
251,University of Bergen,Norway,2-3,0,0
251,University of Bochum,Germany,15-24,0,0
251,University of Bologna,Italy,5-9,0,0
251,University of Cape Town,South-Africa,1,0,19.6
251,University of Central Florida,USA,86-109,0,0
251,University of Cincinnati,USA,86-109,0,0
251,University of Colorado at Denver,USA,86-109,0,0
251,University of Duesseldorf,Germany,15-24,0,12.1
251,University of Durham,UK,20-30,0,0
251,University of East Anglia,UK,20-30,0,14.3
251,University of Erlangen-Nuremberg,Germany,15-24,0,0
251,University of Exeter,UK,20-30,0,0
251,University of Florence,Italy,5-9,0,0
251,University of Guelph,Canada,8-17,0,0
251,University of Houston,USA,86-109,0,0
251,University of Innsbruck,Austria,2-3,0,0
251,University of Kansas - Lawrence,USA,86-109,0,12.1
251,University of Kentucky,USA,86-109,0,10.8
251,University of Lausanne,Switzerland,7,0,0
251,University of Leicester,UK,20-30,0,0
251,University of Leipzig,Germany,15-24,0,12.1
251,University of Liege,Belgium,5-6,0,7.7
251,University of Lorraine,France,9-13,0,12.1
251,University of Maastricht,Netherlands,9-10,0,0
251,University of Manitoba,Canada,8-17,0,0
251,University of Marburg,Germany,15-24,0,10.8
251,University of Medicine and Dentistry New Jersey,USA,86-109,0,0
251,University of Missouri - Columbia,USA,86-109,0,9.4
251,University of Montpellier 2,France,9-13,0,10.8
251,University of Notre Dame,USA,86-109,0,13.3
251,University of Oregon,USA,86-109,0,9.4
251,University of Otago,New-Zealand,2,0,0
251,University of Ottawa,Canada,8-17,0,0
251,University of Paris Dauphine (Paris 9),France,9-13,0,16.3
251,University of Saskatchewan,Canada,8-17,0,9.4
251,University of Science and Technology of China,China,5-7,0,0
251,University of South Carolina - Columbia,USA,86-109,0,0
251,University of South Florida,USA,86-109,0,0
251,University of Southern Denmark,Denmark,4,0,0
251,University of St Andrews,UK,20-30,0,10.8
251,University of Stuttgart,Germany,15-24,0,19.6
251,University of Turin,Italy,5-9,0,16.3
251,University of York,UK,20-30,0,0
251,Washington State University - Pullman,USA,86-109,0,0
251,Western University,Canada,8-17,0,0
251,Yeshiva University,USA,86-109,0,0
251,Yonsei University,South-Korea,2-4,0,0
151,Aristotle University of Thessaloniki,Greece,1-2,0,0
151,Autonomous University of Barcelona,Spain,4-7,0,0
151,Bar-Ilan University,Israel,5-6,0,0
151,Ben-Gurion University of the Negev,Israel,5-6,0,0
151,Brigham Young University,USA,110-137,0,9.4
151,Chalmers University of Technology,Sweden,8-11,0,0
151,Chang Gung University,China-tw,4-5,0,0
151,China Agricultural University,China,8-14,0,0
151,City University of New York City College,USA,110-137,0,30.2
151,Clemson University,USA,110-137,0,0
151,Drexel University,USA,110-137,0,0
151,Ecole Polytechnique,France,14-16,0,18
151,Eindhoven University of Technology,Netherlands,11-12,0,0
151,Eotvos Lorand University,Hungary,1,0,14.3
151,Federal University of Minas Gerais,Brazil,3-5,0,0
151,Federal University of Rio de Janeiro,Brazil,3-5,0,0
151,Flinders University,Australia,10-16,0,16.3
151,Georgetown University,USA,110-137,0,0
151,Griffith University,Australia,10-16,0,0
151,Hanyang University,South-Korea,5-7,0,0
151,Hiroshima University,Japan,10-16,0,0
151,Huazhong University of Science and Technology,China,8-14,0,0
151,Indian Institute of Science,India,1,0,0
151,Indiana University-Purdue University at Indianapolis,USA,110-137,0,0
151,Industrial Physics and Chemistry Higher Educational Institution - Paris,France,14-16,0,7.7
151,Jagiellonian University,Poland,1-2,0,10.8
151,James Cook University,Australia,10-16,0,0
151,Jilin University,China,8-14,0,0
151,Kanazawa University,Japan,10-16,0,0
151,Kansas State University,USA,110-137,0,0
151,Keio University,Japan,10-16,0,0
151,King Abdulaziz University,Saudi-Arabia,2-3,0,0
151,King Fahd University of Petroleum & Minerals,Saudi-Arabia,2-3,0,0
151,Kobe University,Japan,10-16,0,0
151,Korea University,South-Korea,5-7,0,0
151,Linkoping University,Sweden,8-11,0,0
151,Medical University of South Carolina,USA,110-137,0,0
151,National and Kapodistrian University of Athens,Greece,1-2,0,0
151,National Chiao Tung University,China-tw,4-5,0,0
151,Northeastern University,USA,110-137,0,0
151,Okayama University,Japan,10-16,0,0
151,Pohang University of Science and Technology,South-Korea,5-7,0,0
151,Polytechnic University of Valencia,Spain,4-7,0,0
151,Queen's University Belfast,UK,31-33,0,18.8
151,Saint Louis University,USA,110-137,0,0
151,San Diego State University,USA,110-137,0,0
151,Sao Paulo State University,Brazil,3-5,0,0
151,Shandong University,China,8-14,0,0
151,Sichuan University,China,8-14,0,0
151,State University of New York at Albany,USA,110-137,0,0
151,State University of New York Health Science Center at Brooklyn,USA,110-137,0,0
151,Stockholm School of Economics,Sweden,8-11,0,0
151,Sun Yat-sen University,China,8-14,0,0
151,Swedish University of Agricultural Sciences,Sweden,8-11,0,0
151,Swinburne University of Technology,Australia,10-16,0,0
151,Syracuse University,USA,110-137,0,0
151,Technical University Darmstadt,Germany,25-30,0,15.3
151,Temple University,USA,110-137,0,0
151,The University of Dundee,UK,31-33,0,0
151,The University of Montana - Missoula,USA,110-137,0,5.4
151,The University of Texas at Dallas,USA,110-137,0,0
151,The University of Texas Health Science Center at San Antonio,USA,110-137,0,0
151,The University of Texas Medical Branch at Galveston,USA,110-137,0,0
151,Tokyo Medical and Dental University,Japan,10-16,0,0
151,Tulane University,USA,110-137,0,0
151,University College Cork,Ireland,2-3,0,0
151,University College Dublin,Ireland,2-3,0,0
151,University of Alaska - Fairbanks,USA,110-137,0,0
151,University of Bath,UK,31-33,0,0
151,University of Bordeaux 1,France,14-16,0,0
151,University of Genova,Italy,10-12,0,0
151,University of Giessen,Germany,25-30,0,0
151,University of Halle-Wittenberg,Germany,25-30,0,0
151,University of Konstanz,Germany,25-30,0,0
151,University of Naples Federico II,Italy,10-12,0,0
151,University of Nebraska Medical Center,USA,110-137,0,0
151,University of New Hampshire - Durham,USA,110-137,0,0
151,University of Newcastle,Australia,10-16,0,0
151,University of Oklahoma - Norman,USA,110-137,0,0
151,University of Oulu,Finland,2-3,0,12.1
151,University of Porto,Portugal,1,0,0
151,University of Regensburg,Germany,25-30,0,0
151,University of Rhode Island,USA,110-137,0,0
151,University of Roma - Tor Vergata,Italy,10-12,0,0
151,University of Tasmania,Australia,10-16,0,0
151,University of Tehran,Iran,1,0,13.3
151,University of the Basque Country,Spain,4-7,0,0
151,University of the Witwatersrand,South-Africa,2,0,19.6
151,University of Turku,Finland,2-3,0,0
151,University of Twente,Netherlands,11-12,0,0
151,University of Ulm,Germany,25-30,0,0
151,University of Valencia,Spain,4-7,0,0
151,University of Vermont,USA,110-137,0,14.3
151,University of Victoria,Canada,18,0,0
151,University of Warsaw,Poland,1-2,0,16.3
151,University of Wollongong,Australia,10-16,0,0
151,Wake Forest University,USA,110-137,0,0
151,Waseda University,Japan,10-16,0,0
151,Wayne State University,USA,110-137,0,0
151,Xian Jiao Tong University,China,8-14,0,0
51,Auburn University,USA,138-150,0,0
51,Beihang University,China,15-28,0,0
51,Beijing Normal University,China,15-28,0,0
51,Boston College,USA,138-150,0,0
51,Cairo University,Egypt,1,0,20.3
51,Carleton University,Canada,19-22,0,0
51,Catholic University of Chile,Chile,1-2,0,0
51,Catholic University of the Sacred Heart,Italy,13-20,0,0
51,Central South University,China,15-28,0,0
51,Chiba University,Japan,17-21,0,0
51,China Medical University,China-tw,6-9,0,0
51,Curtin University of Technology,Australia,17-19,0,0
51,Dalian University of Technology,China,15-28,0,0
51,Ecole National Superieure Mines - Paris,France,17-20,0,14.3
51,Federal University of Rio Grande do Sul,Brazil,6,0,0
51,Harbin Institute of Technology,China,15-28,0,0
51,Istanbul University,Turkey,1,0,14.3
51,Kent State University,USA,138-150,0,0
51,Kyung Hee University,South-Korea,8-10,0,0
51,Kyungpook National University,South-Korea,8-10,0,0
51,La Trobe University,Australia,17-19,0,0
51,Lanzhou University,China,15-28,0,0
51,Lehigh University,USA,138-150,0,0
51,London School of Hygiene and Tropical Medicine,UK,34-38,0,7.7
51,Massey University,New-Zealand,3-5,0,0
51,Medical College of Wisconsin,USA,138-150,0,0
51,Medical University of Graz,Austria,4-7,0,0
51,Medical University of Innsbruck,Austria,4-7,0,0
51,Montana State University - Bozeman,USA,138-150,0,0
51,Nagasaki University,Japan,17-21,0,12.1
51,Nankai University,China,15-28,0,0
51,Nara Institute of Science and Technology,Japan,17-21,0,0
51,National Central University,China-tw,6-9,0,0
51,National Sun Yat-Sen University,China-tw,6-9,0,0
51,National Yang Ming University,China-tw,6-9,0,0
51,Niigata University,Japan,17-21,0,0
51,Peking Union Medical College,China,15-28,0,0
51,Polytechnic University of Turin,Italy,13-20,0,0
51,Pusan National University,South-Korea,8-10,0,0
51,Saint Petersburg State University,Russia,2,0,28.2
51,South China University of Technology,China,15-28,0,0
51,Southeast University,China,15-28,0,0
51,Southern Methodist University,USA,138-150,0,12.1
51,Swansea Univ,UK,34-38,0,0
51,Technical University of Braunschweig,Germany,31-37,0,13.3
51,Technical University of Lisbon,Portugal,2-3,0,0
51,Texas Tech University,USA,138-150,0,0
51,The Open University,UK,34-38,0,0
51,The University of Texas at San Antonio,USA,138-150,0,0
51,The University of Tokushima,Japan,17-21,0,0
51,Tianjin University,China,15-28,0,0
51,Tilburg University,Netherlands,13,0,0
51,Tongji University,China,15-28,0,0
51,University of Arkansas at Fayetteville,USA,138-150,0,0
51,University of Bari,Italy,13-20,0,0
51,University of Bayreuth,Germany,31-37,0,0
51,University of Belgrade,Serbia,1,0,0
51,University of Bielefeld,Germany,31-37,0,0
51,University of Bremen,Germany,31-37,0,0
51,University of Canterbury,New-Zealand,3-5,0,0
51,University of Chile,Chile,1-2,0,7.7
51,University of Duisburg-Essen,Germany,31-37,0,0
51,University of Eastern Finland,Finland,4-5,0,0
51,University of Essex,UK,34-38,0,20.3
51,University of Ferrara,Italy,13-20,0,0
51,University of Granada,Spain,8-11,0,0
51,University of Graz,Austria,4-7,0,7.7
51,University of Hannover,Germany,31-37,0,0
51,University of Jena,Germany,31-37,0,0
51,University of Jyvaskyla,Finland,4-5,0,0
51,University of KwaZulu-Natal,South-Africa,3,0,0
51,University of Lille 1,France,17-20,0,0
51,University of Lisbon,Portugal,2-3,0,0
51,University of Ljubljana,Slovenia,1,0,0
51,University of Louisville,USA,138-150,0,0
51,University of Malaya,Malaysia,1,0,0
51,University of Milan - Bicocca,Italy,13-20,0,0
51,University of Nice Sophia Antipolis,France,17-20,0,0
51,University of Palermo,Italy,13-20,0,0
51,University of Parma,Italy,13-20,0,0
51,University of Perugia,Italy,13-20,0,0
51,University of Pompeu Fabra,Spain,8-11,0,0
51,University of Quebec,Canada,19-22,0,0
51,University of Rennes 1,France,17-20,0,0
51,University of Sherbrooke,Canada,19-22,0,0
51,University of Surrey,UK,34-38,0,0
51,University of Szeged,Hungary,2,0,0
51,University of Technology Sydney,Australia,17-19,0,0
51,University of Tromso,Norway,4,0,0
51,University of Vigo,Spain,8-11,0,0
51,University of Wyoming,USA,138-150,0,0
51,University of Zagreb,Croatia,1,0,0
51,University of Zaragoza,Spain,8-11,0,0
51,Utah State University,USA,138-150,0,0
51,Victoria University of Wellington,New-Zealand,3-5,0,12.1
51,Vienna University of Technology,Austria,4-7,0,0
51,Vrije University Brussel,Belgium,7,0,14.3
51,Wuhan University,China,15-28,0,0
51,Xiamen University,China,15-28,0,0
51,York University,Canada,19-22,0,0
